Market Options 6 7 2020,,,,,,,
Symbol,Company Name,Last,Volume,Trades,Exercise Price,% Chg. (Close),+/- Chg. (Close)
XJOSP8,S&P/ASX200 JUL-20C58,209,58,4,5850,38.411,58
TLS7X7,TELSTRA    JUN-21C36,0.145,100,1,3.66,38.095,0.04
XJOMZ8,S&P/ASX200 SEP-20C70,11,8,1,7000,37.5,3
TLS4V7,TELSTRA    JUL-20C31,0.24,800,2,3.17,37.143,0.065
TWEVC7,TREA WINE  JUL-20C11,0.3,200,1,11,36.364,0.08
XJOYL9,S&P/ASX200 AUG-20C64,45,10,1,6450,36.364,12
TWEGX8,TREA WINE  MAR-21C11,1.29,66,2,11,35.789,0.34
AWCC58,ALUMINA    AUG-20C17,0.095,50,1,1.7,35.714,0.025
QANDM8,QANTAS     SEP-21C40,0.65,15,1,4,35.417,0.17
CBAW39,CWLTH BANK JUL-20C71,2,12,1,71,35.135,0.52
BSLFM7,BLUESCOPE  JUL-20P10,0.295,2,1,10.75,34.091,0.075
DXNOD,DXNLIMITED OPT MAY23,0.008,22611269,56,0.02,33.333,0.002
IHLOB,INHEALTH   OPT SEP20,0.02,3360091,26,0.04,33.333,0.005
QBEDT7,QBE INSUR. AUG-20C10,0.12,20,1,10.5,33.333,0.03
TLS9Q9,TELSTRA    AUG-20C34,0.12,335,5,3.4,33.333,0.03
XJOKM9,S&P/ASX200 JUL-20C61,89,3,2,6100,32.836,22
RIOUT8,RIO TINTO  JUL-20P96,1.5,10,1,96,31.579,0.36
WPLJZ7,WOODSIDE   JUL-20C22,0.42,39,1,22.01,31.25,0.1
XJOV68,S&P/ASX200 JUL-20C59,110,23,2,5975,30.952,26
BSLD18,BLUESCOPE  SEP-20P10,0.825,200,1,10.51,30.952,0.195
TAH3J8,TABCORP    AUG-20C30,0.45,1000,1,3,30.435,0.105
NCMLB9,NEWCREST   JUL-20C25,7.2,20,2,25.5,30.199,1.67
TLSQV8,TELSTRA    SEP-20C32,0.26,1000,3,3.21,30,0.06
XJO9V7,S&P/ASX200 AUG-20C63,65,137,3,6350,30,15
RIOU87,RIO TINTO  JUL-20P97,2.75,4,1,97,29.717,0.63
ASXVB9,ASX        JUL-20C90,0.525,12,8,90,29.63,0.12
NCMVQ8,NEWCREST   JUL-20C31,1.39,4,1,31.51,29.302,0.315
TLS9Z9,TELSTRA    AUG-20C36,0.045,625,2,3.6,28.571,0.01
WESTM8,WESFARMER  AUG-20C44,3.175,15,1,44,27.51,0.685
TLS9J9,TELSTRA    AUG-20C32,0.24,25,1,3.2,26.316,0.05
SEKWP9,SEEK       JUL-20C22,0.415,1,1,22,25.758,0.085
BLD0G8,BORAL LTD  AUG-20C39,0.22,20,1,3.9,25.714,0.045
BSLG77,BLUESCOPE  AUG-20P11,1.38,200,1,11.75,25.455,0.28
BLYO,BOART      WAR SEP24,0.02,76135,3,6.3,25,0.004
IBXO,IMAGIONBIO OPT NOV21,0.01,5435000,18,0.05,25,0.002
STWY27,SPDR 200   SEP-20C58,1.4,10,1,58,25,0.28
TLSVY8,TELSTRA    SEP-20C33,0.15,500,1,3.32,25,0.03
OSHCF7,OIL SEARCH JUL-20P34,0.25,739,2,3.42,25,0.05
XJOV98,S&P/ASX200 JUL-20P60,45,151,16,6000,25,9
TLSW18,TELSTRA    SEP-20C34,0.105,200,1,3.42,23.529,0.02
CSLKJ8,CSL        AUG-20C30,6.42,5,1,308,23.462,1.22
MQGP27,MACQ GROUP AUG-20C12,5.55,25,4,124,23.333,1.05
MQGLJ7,MACQ GROUP AUG-20C12,4.55,39,2,126,22.973,0.85
GNMOB,GREATNORTH OPT JUL23,0.011,880000,4,0.022,22.222,0.002
XJOJW9,S&P/ASX200 JUL-20P59,72,4,4,5900,22.034,13
TCL1J7,TRANSURBAN AUG-20P14,0.61,3,1,14.5,22,0.11
MQGFM7,MACQ GROUP JUL-20C13,0.365,112,3,132,21.667,0.065
RIOP88,RIO TINTO  AUG-20P87,1.895,73,3,87,21.474,0.335
WBCZ29,WESTPAC    DEC-20C20,0.825,250,1,20,21.324,0.145
MQGUG9,MACQ GROUP SEP-20C13,2.665,99,3,134,21.136,0.465
BLDBM9,BORAL LTD  SEP-20C40,0.23,500,1,4,21.053,0.04
CSLSR8,CSL        JUL-20P29,6.2,50,5,294,20.623,1.06
XJOQR8,S&P/ASX200 JUL-20C56,440,20,2,5600,20.548,75
OZLYZ8,OZMINER    SEP-20C11,1.18,350,3,11,20.408,0.2
XJOVP8,S&P/ASX200 JUL-20P62,155,4,2,6200,20.155,26
ORGRH7,ORIGIN ENE JUL-20C60,0.18,200,1,6,20,0.03
IMUOA,IMUGENE    OPT NOV20,0.012,80000,1,0.026,20,0.002
CBAJ77,CWLTH BANK JUL-20C71,1.085,162,6,71,19.89,0.18
MQGMH7,MACQ GROUP AUG-20C14,0.77,40,2,140,19.38,0.125
BHPDV8,BHP GROUP  SEP-20P34,1.49,40,1,34,19.2,0.24
